prompt_len,gen_len,ttft_ms,tpot_ms,tokens_s,peak_mem_mb,kv_est_mb,kv_pkv_prefill_mb,kv_pkv_final_mb
64,32,60.74,48.58,20.7,5065.4,9.75,6.5,9.75
64,64,66.59,50.39,19.9,5065.4,13.0,6.5,13.0
64,128,58.45,49.97,20.1,5065.4,19.5,6.5,19.5
128,32,74.73,54.37,18.6,5133.2,16.25,13.0,16.25
128,64,67.98,47.72,21.0,5133.2,19.5,13.0,19.5
128,128,70.1,50.5,19.8,5133.2,26.0,13.0,26.0
256,32,96.31,46.81,21.4,5273.7,29.25,26.0,29.25
256,64,97.69,51.37,19.8,5273.7,32.5,26.0,32.5
256,128,95.93,51.53,19.5,5273.7,39.0,26.0,39.0
512,32,195.92,46.12,21.7,5548.9,55.25,52.0,55.25
512,64,195.04,50.98,19.9,5548.9,58.5,52.0,58.5
512,128,194.44,49.2,20.4,5548.9,65.0,52.0,65.0
1024,32,475.93,52.31,19.5,6108.1,107.25,104.0,107.25
1024,64,477.82,50.16,20.0,6108.1,110.5,104.0,110.5
1024,128,482.88,48.51,20.7,6108.1,117.0,104.0,117.0
2048,32,1207.27,51.51,19.4,7211.6,211.25,208.0,211.25
2048,64,1209.2,53.96,18.6,7211.6,214.5,208.0,214.5
2048,128,1207.56,54.08,18.5,7211.6,221.0,208.0,221.0
